school,state,school_id,district_id,schoolwide_title1,title1_eligible,title1_school_status,lat,long,national_school_lunch_program,total_enroll,two_or_more_race,hawaiin_pi,white,black,hispanic,aapi,native
CHAPEL HILL ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.679,-84.2187,Yes under Community Eligibility Option (CEO),507,7,1,4,475,17,2,1
CHAPEL HILL ELEMENTARY SCHOOL,Georgia,1.30186E+11,1301860,,No,6-Not a Title I school,33.685,-84.738,Yes participating without using any Provision or the CEO,756,49,1,108,469,105,22,2
CHAPEL HILL HIGH SCHOOL,Georgia,1.30186E+11,1301860,,No,6-Not a Title I school,33.6731,-84.7219,Yes participating without using any Provision or the CEO,1443,70,3,300,854,193,20,3
CHAPEL HILL MIDDLE SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.68,-84.216,Yes participating without using any Provision or the CEO,795,13,0,4,761,16,1,0
CHAPEL HILL MIDDLE SCHOOL,Georgia,1.30186E+11,1301860,,No,6-Not a Title I school,33.6963,-84.7175,Yes participating without using any Provision or the CEO,1142,69,1,138,765,150,19,0
CHARLES DREW CHARTER SCHOOL JA/SA,GEORGIA,1.30012E+11,1300120,,No,6-Not a Title I school,33.7465,-84.3113,Yes participating without using any Provision or the CEO,905,29,1,128,708,27,10,2
CHARLES R. DREW CHARTER SCHOOL,Georgia,1.30012E+11,1300120,,No,6-Not a Title I school,33.745811,-84.315065,Yes participating without using any Provision or the CEO,1000,56,2,293,594,46,8,1
CHARLES R. DREW HIGH SCHOOL,Georgia,1.30123E+11,1301230,Yes,Yes,5-Title I schoolwide school,33.586304,-84.395481,Yes under Community Eligibility Option (CEO),1626,25,3,21,1023,511,39,4
CHARLES SPENCER ELEMENTARY SCHOOL,Georgia,1.30498E+11,1304980,Yes,Yes,5-Title I schoolwide school,31.4452,-83.4963,Yes under Community Eligibility Option (CEO),426,13,0,165,191,57,0,0
CHARLTON COUNTY HIGH SCHOOL,Georgia,1.30099E+11,1300990,,No,6-Not a Title I school,30.8456,-82.0017,Yes under Provision 2,440,26,0,262,130,20,1,1
CHASE STREET ELEMENTARY SCHOOL,Georgia,1.30117E+11,1301170,Yes,Yes,5-Title I schoolwide school,33.9647,-83.3945,Yes under Community Eligibility Option (CEO),481,24,2,240,175,36,4,0
CHATSWORTH ELEMENTARY SCHOOL,Georgia,1.30384E+11,1303840,Yes,Yes,5-Title I schoolwide school,34.7684,-84.7772,Yes participating without using any Provision or the CEO,684,5,0,412,8,253,5,1
CHATTAHOOCHEE COUNTY EDUCATION CENTER,Georgia,1.30105E+11,1301050,Yes,Yes,5-Title I schoolwide school,32.301648,-84.766421,Yes under Community Eligibility Option (CEO),252,15,0,143,86,6,0,2
CHATTAHOOCHEE COUNTY HIGH SCHOOL,Georgia,1.30105E+11,1301050,,No,6-Not a Title I school,32.312421,-84.754388,Yes participating without using any Provision or the CEO,435,29,6,191,108,95,5,1
CHATTAHOOCHEE COUNTY MIDDLE SCHOOL,Georgia,1.30105E+11,1301050,Yes,Yes,5-Title I schoolwide school,32.312421,-84.754388,Yes under Community Eligibility Option (CEO),183,10,0,93,60,20,0,0
CHATTAHOOCHEE ELEMENTARY SCHOOL,Georgia,1.30222E+11,1302220,No,Yes,2-Title I targeted assistance school,34.2385,-84.0869,Yes participating without using any Provision or the CEO,796,26,0,537,10,208,13,2
CHATTAHOOCHEE ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,,No,6-Not a Title I school,34.0183,-84.1475,Yes participating without using any Provision or the CEO,1281,68,0,262,440,282,227,2
CHATTAHOOCHEE HIGH SCHOOL,Georgia,1.30228E+11,1302280,,No,6-Not a Title I school,34.0491,-84.2082,Yes participating without using any Provision or the CEO,1976,86,2,837,280,244,521,6
CHATTAHOOCHEE HILLS CHARTER SCHOOL,GEORGIA,1.30228E+11,1302280,Yes,Yes,5-Title I schoolwide school,33.581521,-84.702301,Yes participating without using any Provision or the CEO,515,19,0,13,453,27,3,0
CHATTANOOGA VALLEY ELEMENTARY SCHOOL,Georgia,1.30537E+11,1305370,Yes,Yes,5-Title I schoolwide school,34.9344,-85.3469,Yes participating without using any Provision or the CEO,494,27,0,430,21,15,0,1
CHATTANOOGA VALLEY MIDDLE SCHOOL,Georgia,1.30537E+11,1305370,Yes,Yes,5-Title I schoolwide school,34.9298,-85.3577,Yes participating without using any Provision or the CEO,526,27,0,464,19,14,2,0
CHATTOOGA HIGH SCHOOL,Georgia,1.30108E+11,1301080,Yes,Yes,5-Title I schoolwide school,34.465067,-85.358934,Yes participating without using any Provision or the CEO,687,34,0,547,52,51,1,2
CHEATHAM HILL ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,,No,6-Not a Title I school,33.9216,-84.6208,Yes participating without using any Provision or the CEO,1014,60,0,435,239,247,33,0
CHEROKEE BLUFF HIGH SCHOOL,GEORGIA,1.30261E+11,1302610,,No,6-Not a Title I school,34.149937,-83.886364,Yes participating without using any Provision or the CEO,971,36,0,634,62,223,13,3
CHEROKEE BLUFF MIDDLE,GEORGIA,1.30261E+11,1302610,,No,6-Not a Title I school,34.15056,-83.884851,Yes participating without using any Provision or the CEO,794,30,1,525,33,197,8,0
CHEROKEE CHARTER ACADEMY,Georgia,1.30023E+11,1300230,No,Yes,2-Title I targeted assistance school,34.1617,-84.535,Yes participating without using any Provision or the CEO,669,29,0,341,140,142,17,0
CHEROKEE ELEMENTARY SCHOOL,Georgia,1.3042E+11,1304200,Yes,Yes,5-Title I schoolwide school,34.0368,-85.2618,Yes under Community Eligibility Option (CEO),576,31,0,248,36,250,10,1
CHEROKEE HIGH SCHOOL,Georgia,1.30111E+11,1301110,,No,6-Not a Title I school,34.2337,-84.5016,Yes participating without using any Provision or the CEO,2873,84,0,1700,215,855,18,1
CHEROKEE RIDGE ELEMENTARY,Georgia,1.30537E+11,1305370,Yes,Yes,5-Title I schoolwide school,34.8894,-85.2899,Yes participating without using any Provision or the CEO,554,31,0,472,38,12,1,0
CHESNEY ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.9595,-84.1457,Yes participating without using any Provision or the CEO,1119,41,0,71,299,610,98,0
CHESNUT ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.9279,-84.2959,Yes participating without using any Provision or the CEO,443,24,0,98,127,129,61,4
CHESTATEE ELEMENTARY,Georgia,1.30222E+11,1302220,Yes,Yes,5-Title I schoolwide school,34.2962,-83.9964,Yes participating without using any Provision or the CEO,1204,41,0,927,25,200,10,1
CHESTATEE HIGH SCHOOL,Georgia,1.30261E+11,1302610,,No,6-Not a Title I school,34.3483,-83.8932,Yes participating without using any Provision or the CEO,1261,15,1,545,23,659,17,1
CHESTATEE MIDDLE SCHOOL,Georgia,1.30261E+11,1302610,Yes,Yes,5-Title I schoolwide school,34.3447,-83.8983,Yes participating without using any Provision or the CEO,912,13,1,390,14,488,6,0
CHESTNUT LOG MIDDLE SCHOOL,Georgia,1.30186E+11,1301860,Yes,Yes,5-Title I schoolwide school,33.7366,-84.6948,Yes participating without using any Provision or the CEO,780,40,1,81,482,163,11,2
CHESTNUT MOUNTAIN ELEMENTARY SCHOOL,Georgia,1.30261E+11,1302610,,No,6-Not a Title I school,34.165925,-83.858665,Yes participating without using any Provision or the CEO,760,23,1,533,35,157,10,1
CHICKAMAUGA ELEMENTARY SCHOOL,Georgia,1.30114E+11,1301140,No,Yes,2-Title I targeted assistance school,34.8718,-85.296,Yes participating without using any Provision or the CEO,506,7,0,479,1,16,3,0
CHICOPEE ELEMENTARY SCHOOL,Georgia,1.30261E+11,1302610,Yes,Yes,5-Title I schoolwide school,34.232,-83.8212,Yes participating without using any Provision or the CEO,720,4,0,60,32,622,2,0
CHURCH STREET ELEMENTARY SCHOOL,Georgia,1.30123E+11,1301230,Yes,Yes,5-Title I schoolwide school,33.5633,-84.4179,Yes under Community Eligibility Option (CEO),746,17,0,6,592,102,28,1
CIRRUS CHARTER ACADEMY,GEORGIA,1.30024E+11,1300239,Yes,Yes,5-Title I schoolwide school,32.824767,-83.662005,Yes under Community Eligibility Option (CEO),517,14,0,9,485,8,1,0
CITY PARK ELEMENTARY SCHOOL,Georgia,1.30162E+11,1301620,Yes,Yes,5-Title I schoolwide school,34.7723,-84.9732,Yes under Provision 2,727,22,0,91,55,534,21,4
CITY VIEW ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,Yes,Yes,5-Title I schoolwide school,33.7904,-84.5619,Yes participating without using any Provision or the CEO,939,14,0,18,421,485,1,0
CLAIREMONT ELEMENTARY SCHOOL,Georgia,1.30168E+11,1301680,No,Yes,2-Title I targeted assistance school,33.7826,-84.2963,Yes participating without using any Provision or the CEO,228,16,0,101,69,20,22,0
CLARK CREEK ELEMENTARY SCHOOL,Georgia,1.30111E+11,1301110,Yes,Yes,5-Title I schoolwide school,34.088539,-84.641833,Yes participating without using any Provision or the CEO,1154,73,0,541,193,273,74,0
CLARKDALE ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,Yes,Yes,5-Title I schoolwide school,33.841096,-84.63288,Yes participating without using any Provision or the CEO,722,36,1,47,393,237,7,1
CLARKE CENTRAL HIGH SCHOOL,Georgia,1.30117E+11,1301170,Yes,Yes,5-Title I schoolwide school,33.951,-83.3899,Yes under Community Eligibility Option (CEO),1771,74,3,477,748,425,42,2
CLARKE MIDDLE SCHOOL,Georgia,1.30117E+11,1301170,Yes,Yes,5-Title I schoolwide school,33.9443,-83.4058,Yes under Community Eligibility Option (CEO),745,42,3,253,351,83,12,1
CLARKESVILLE ELEMENTARY SCHOOL,Georgia,1.30258E+11,1302580,,No,6-Not a Title I school,34.6154,-83.5364,No,409,14,0,338,16,35,6,0
CLARKSTON HIGH SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.7936,-84.2371,Yes under Community Eligibility Option (CEO),1463,15,2,70,844,55,471,6
CLASSIC CITY HIGH SCHOOL,Georgia,1.30117E+11,1301170,Yes,Yes,5-Title I schoolwide school,33.94949,-83.401041,Yes under Community Eligibility Option (CEO),56,2,0,1,48,5,0,0
CLAXTON ELEMENTARY SCHOOL,Georgia,1.30207E+11,1302070,Yes,Yes,5-Title I schoolwide school,32.150195,-81.905514,Yes under Community Eligibility Option (CEO),884,37,0,275,328,238,4,2
CLAXTON HIGH SCHOOL,Georgia,1.30207E+11,1302070,Yes,Yes,5-Title I schoolwide school,32.1633,-81.9174,Yes under Community Eligibility Option (CEO),528,18,0,205,169,132,4,0
CLAXTON MIDDLE SCHOOL,Georgia,1.30207E+11,1302070,Yes,Yes,5-Title I schoolwide school,32.152066,-81.909432,Yes under Community Eligibility Option (CEO),441,13,0,161,145,119,2,1
CLAXTON REGIONAL YOUTH DETENTION CENTER,Georgia,1.30003E+11,1300026,Yes,Yes,5-Title I schoolwide school,32.142214,-81.952681,Yes participating without using any Provision or the CEO,3,0,0,0,3,0,0,0
CLAY COUNTY ELEMENTARY,Georgia,1.3012E+11,1301200,Yes,Yes,5-Title I schoolwide school,31.620837,-85.042746,Yes under Community Eligibility Option (CEO),130,1,0,0,129,0,0,0
CLAY COUNTY MIDDLE SCHOOL,Georgia,1.3012E+11,1301200,Yes,Yes,5-Title I schoolwide school,31.620837,-85.042746,Yes under Community Eligibility Option (CEO),74,3,0,1,69,0,0,1
CLAY-HARMONY LELAND ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,Yes,Yes,5-Title I schoolwide school,33.799083,-84.570254,Yes participating without using any Provision or the CEO,952,41,0,74,515,315,6,1
CLAYTON ELEMENTARY SCHOOL,Georgia,1.30111E+11,1301110,,No,6-Not a Title I school,34.3323,-84.4893,Yes participating without using any Provision or the CEO,253,13,0,230,0,9,1,0
CLEAR CREEK ELEMENTARY SCHOOL,Georgia,1.30033E+11,1300330,Yes,Yes,5-Title I schoolwide school,34.2881,-84.8665,Yes participating without using any Provision or the CEO,615,18,2,516,11,64,2,2
CLEAR CREEK ELEMENTARY SCHOOL,Georgia,1.30234E+11,1302340,Yes,Yes,5-Title I schoolwide school,34.696423,-84.476877,No,656,6,0,504,0,142,4,0
CLEAR CREEK MIDDLE SCHOOL,Georgia,1.30234E+11,1302340,Yes,Yes,5-Title I schoolwide school,34.61465,-84.455723,No,1002,12,1,686,2,298,2,1
CLEARVIEW ELEMENTARY SCHOOL,GEORGIA,1.3E+11,1300001,Yes,Yes,5-Title I schoolwide school,33.0127,-85.011209,Yes under Community Eligibility Option (CEO),659,24,0,113,435,67,18,2
CLEMENTS MIDDLE SCHOOL,Georgia,1.30393E+11,1303930,Yes,Yes,5-Title I schoolwide school,33.608697,-83.937657,No,862,23,2,42,687,102,6,0
CLEVELAND ELEMENTARY SCHOOL,Georgia,1.30213E+11,1302130,Yes,Yes,5-Title I schoolwide school,33.444,-84.5128,Yes participating without using any Provision or the CEO,424,40,0,104,184,73,23,0
CLEVELAND ELEMENTARY SCHOOL,Georgia,1.30012E+11,1300120,Yes,Yes,5-Title I schoolwide school,33.6828,-84.3922,Yes under Community Eligibility Option (CEO),282,6,0,0,268,8,0,0
CLEVELAND ROAD ELEMENTARY SCHOOL,Georgia,1.30117E+11,1301170,Yes,Yes,5-Title I schoolwide school,33.9671,-83.5055,Yes under Community Eligibility Option (CEO),244,20,0,62,100,56,6,0
CLIFTON RIDGE MIDDLE SCHOOL,Georgia,1.30315E+11,1303150,Yes,Yes,5-Title I schoolwide school,32.880585,-83.581843,Yes participating without using any Provision or the CEO,521,26,0,293,187,12,3,0
CLIFTONDALE ELEMENTARY SCHOOL,Georgia,1.30228E+11,1302280,Yes,Yes,5-Title I schoolwide school,33.657939,-84.61467,Yes participating without using any Provision or the CEO,656,8,0,3,630,12,3,0
CLINCH COUNTY ELEMENTARY SCHOOL,Georgia,1.30126E+11,1301260,Yes,Yes,5-Title I schoolwide school,31.0438,-82.7716,Yes under Community Eligibility Option (CEO),565,38,0,283,194,44,2,4
CLINCH COUNTY HIGH SCHOOL,Georgia,1.30126E+11,1301260,,No,6-Not a Title I school,31.049029,-82.750117,Yes participating without using any Provision or the CEO,442,23,0,243,151,21,2,2
CLINCH COUNTY MIDDLE SCHOOL,Georgia,1.30126E+11,1301260,Yes,Yes,5-Title I schoolwide school,31.044,-82.7716,Yes under Community Eligibility Option (CEO),303,14,0,161,109,16,2,1
CLOUD SPRINGS ELEMENTARY SCHOOL,Georgia,1.30093E+11,1300930,Yes,Yes,5-Title I schoolwide school,34.9646,-85.2509,Yes participating without using any Provision or the CEO,297,20,4,258,5,8,2,0
CLOVERLEAF ELEMENTARY,Georgia,1.30033E+11,1300330,Yes,Yes,5-Title I schoolwide school,34.204347,-84.743698,Yes participating without using any Provision or the CEO,651,46,0,366,118,110,11,0
CLUBVIEW ELEMENTARY SCHOOL,Georgia,1.30387E+11,1303870,,No,6-Not a Title I school,32.4924,-84.9487,Yes participating without using any Provision or the CEO,601,56,1,287,201,43,13,0
CLYATTVILLE ELEMENTARY SCHOOL,Georgia,1.30339E+11,1303390,Yes,Yes,5-Title I schoolwide school,30.6876,-83.3171,Yes under Community Eligibility Option (CEO),596,34,1,301,120,134,6,0
COAHULLA CREEK HIGH SCHOOL,Georgia,1.3057E+11,1305700,,No,6-Not a Title I school,34.9003,-84.9174,Yes participating without using any Provision or the CEO,1116,32,0,668,19,384,10,3
COAL MOUNTAIN ELEMENTARY SCHOOL,Georgia,1.30222E+11,1302220,,No,6-Not a Title I school,34.2739,-84.106,Yes participating without using any Provision or the CEO,708,35,2,470,56,111,32,2
COASTAL ACADEMY,GEORGIA,1.30002E+11,1300018,,No,6-Not a Title I school,31.170012,-81.495948,No,,,,,,,,
COASTAL EMPIRE MONTESSORI CHARTER SCHOOL,Georgia,1.30102E+11,1301020,No,Yes,2-Title I targeted assistance school,32.030403,-81.181892,No,247,18,0,73,128,27,1,0
COASTAL MIDDLE SCHOOL,Georgia,1.30102E+11,1301020,,No,6-Not a Title I school,32.041216,-81.012688,No,644,23,0,353,177,50,40,1
COASTAL PLAINS CHARTER HIGH SCHOOL - CANDLER CAMPUS,GEORGIA,1.30025E+11,1300246,Yes,Yes,5-Title I schoolwide school,32.395091,-82.065201,Yes participating without using any Provision or the CEO,1234,47,3,700,336,138,7,3
COBB HORIZON HIGH SCHOOL,GEORGIA,1.30129E+11,1301290,,No,6-Not a Title I school,33.910176,-84.48201,Yes participating without using any Provision or the CEO,271,13,0,86,82,86,4,0
COFFEE COUNTY HIGH SCHOOL,Georgia,1.30135E+11,1301350,Yes,Yes,5-Title I schoolwide school,31.5527,-82.8613,Yes under Community Eligibility Option (CEO),1256,28,0,593,365,257,12,1
COFFEE MIDDLE SCHOOL,Georgia,1.30135E+11,1301350,Yes,Yes,5-Title I schoolwide school,31.5397,-82.8354,Yes under Community Eligibility Option (CEO),1775,56,0,758,576,364,17,4
COGBURN WOODS ELEMENTARY SCHOOL,Georgia,1.30228E+11,1302280,,No,6-Not a Title I school,34.1046,-84.2827,Yes participating without using any Provision or the CEO,764,39,7,313,113,84,208,0
COHUTTA ELEMENTARY SCHOOL,Georgia,1.3057E+11,1305700,Yes,Yes,5-Title I schoolwide school,34.9612,-84.9488,Yes participating without using any Provision or the CEO,289,10,0,248,2,29,0,0
COILE MIDDLE SCHOOL,Georgia,1.30117E+11,1301170,Yes,Yes,5-Title I schoolwide school,33.9887,-83.2982,Yes under Community Eligibility Option (CEO),762,22,0,36,385,316,2,1
COKER ELEMENTARY SCHOOL,Georgia,1.30384E+11,1303840,Yes,Yes,5-Title I schoolwide school,34.7558,-84.7943,Yes under Community Eligibility Option (CEO),642,6,0,582,4,47,3,0
COLBERT ELEMENTARY SCHOOL,Georgia,1.30348E+11,1303480,Yes,Yes,5-Title I schoolwide school,34.0392,-83.2281,No,434,32,0,255,69,76,2,0
COLEMAN MIDDLE SCHOOL,GEORGIA,1.30255E+11,1302550,,No,6-Not a Title I school,34.00445,-84.142841,Yes participating without using any Provision or the CEO,915,50,2,168,335,212,146,2
COLHAM FERRY ELEMENTARY SCHOOL,Georgia,1.30396E+11,1303960,No,Yes,2-Title I targeted assistance school,33.8479,-83.4095,Yes participating without using any Provision or the CEO,543,14,0,472,7,28,22,0
COLLEGE PARK ELEMENTARY,GEORGIA,1.30228E+11,1302280,Yes,Yes,5-Title I schoolwide school,33.65551,-84.456593,Yes under Community Eligibility Option (CEO),626,8,0,2,562,46,4,4
COLLINS ELEMENTARY SCHOOL,Georgia,1.30477E+11,1304770,Yes,Yes,5-Title I schoolwide school,32.18715,-82.108173,Yes under Community Eligibility Option (CEO),241,3,0,159,44,35,0,0
COLLINS HILL HIGH SCHOOL,Georgia,1.30255E+11,1302550,,No,6-Not a Title I school,34.0163,-84.0207,Yes participating without using any Provision or the CEO,2822,131,1,568,900,875,340,7
COLQUITT COUNTY HIGH SCHOOL,Georgia,1.30138E+11,1301380,Yes,Yes,5-Title I schoolwide school,31.204953,-83.758766,Yes under Community Eligibility Option (CEO),1809,43,0,717,478,541,29,1
COLUMBIA ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.72,-84.2576,Yes under Community Eligibility Option (CEO),424,2,0,0,411,10,0,1
COLUMBIA HIGH SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.7281,-84.2509,Yes under Community Eligibility Option (CEO),960,9,1,9,911,24,5,1
COLUMBIA MIDDLE SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.6974,-84.2535,Yes under Community Eligibility Option (CEO),809,9,0,5,775,16,2,2
COLUMBIA MIDDLE SCHOOL,Georgia,1.30141E+11,1301410,,No,6-Not a Title I school,33.495782,-82.231981,Yes participating without using any Provision or the CEO,988,79,7,455,275,142,29,1
COLUMBUS HIGH SCHOOL,Georgia,1.30387E+11,1303870,,No,6-Not a Title I school,32.4794,-84.9633,Yes participating without using any Provision or the CEO,1223,56,3,645,246,101,167,5
COMER ELEMENTARY SCHOOL,Georgia,1.30348E+11,1303480,Yes,Yes,5-Title I schoolwide school,34.0705,-83.1303,No,385,15,0,282,31,20,37,0
COMMERCE ELEMENTARY SCHOOL,Georgia,1.30144E+11,1301440,Yes,Yes,5-Title I schoolwide school,34.1935,-83.4619,Yes participating without using any Provision or the CEO,245,14,0,163,20,40,8,0
COMMERCE HIGH SCHOOL,Georgia,1.30144E+11,1301440,,No,6-Not a Title I school,34.1981,-83.4643,Yes participating without using any Provision or the CEO,485,17,0,353,43,68,4,0
COMMERCE MIDDLE SCHOOL,Georgia,1.30144E+11,1301440,,No,6-Not a Title I school,34.1879,-83.4753,Yes participating without using any Provision or the CEO,511,29,0,350,49,82,1,0
COMMERCE PRIMARY,Georgia,1.30144E+11,1301440,Yes,Yes,5-Title I schoolwide school,34.1955,-83.4619,Yes participating without using any Provision or the CEO,480,23,0,314,38,96,6,3
COMPTON ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,Yes,Yes,5-Title I schoolwide school,33.871,-84.6774,Yes participating without using any Provision or the CEO,511,19,1,40,260,186,4,1
CONLEY HILLS ELEMENTARY SCHOOL,Georgia,1.30228E+11,1302280,Yes,Yes,5-Title I schoolwide school,33.685,-84.4571,Yes under Community Eligibility Option (CEO),488,10,0,6,308,161,0,3
CONNIE DUGAN ELEMENTARY SCHOOL,Georgia,1.30402E+11,1304020,Yes,Yes,5-Title I schoolwide school,33.7851,-84.8353,Yes participating without using any Provision or the CEO,624,41,0,335,177,68,2,1
CONTINENTAL COLONY ELEMENTARY SCHOOL,Georgia,1.30012E+11,1300120,Yes,Yes,5-Title I schoolwide school,33.6787,-84.4917,Yes under Community Eligibility Option (CEO),415,2,1,0,397,13,1,1
CONYERS MIDDLE SCHOOL,Georgia,1.30441E+11,1304410,Yes,Yes,5-Title I schoolwide school,33.6839,-84.0046,Yes participating without using any Provision or the CEO,1086,26,4,89,738,221,7,1
COOK COUNTY MIDDLE SCHOOL,Georgia,1.30147E+11,1301470,Yes,Yes,5-Title I schoolwide school,31.155176,-83.437312,Yes under Community Eligibility Option (CEO),750,17,1,371,261,94,6,0
COOK ELEMENTARY SCHOOL,Georgia,1.30147E+11,1301470,Yes,Yes,5-Title I schoolwide school,31.154405,-83.433686,Yes under Community Eligibility Option (CEO),674,26,0,362,197,83,5,1
COOK HIGH SCHOOL,Georgia,1.30147E+11,1301470,,No,6-Not a Title I school,31.133654,-83.383629,Yes under Community Eligibility Option (CEO),885,32,0,459,295,83,15,1
COOK PRIMARY SCHOOL,Georgia,1.30147E+11,1301470,Yes,Yes,5-Title I schoolwide school,31.1669,-83.4088,Yes under Community Eligibility Option (CEO),820,43,0,399,292,74,3,9
COOPER ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,,No,6-Not a Title I school,33.8916,-83.9135,Yes participating without using any Provision or the CEO,1404,81,0,362,722,201,36,2
COOPER MIDDLE SCHOOL,Georgia,1.30129E+11,1301290,Yes,Yes,5-Title I schoolwide school,33.8422,-84.6343,Yes participating without using any Provision or the CEO,1053,34,1,72,710,222,12,2
COOPER-CARVER ELEMENTARY SCHOOL,Georgia,1.30486E+11,1304860,Yes,Yes,5-Title I schoolwide school,31.7543,-84.4182,Yes under Community Eligibility Option (CEO),558,4,0,26,519,8,1,0
COOSA HIGH SCHOOL,Georgia,1.30219E+11,1302190,Yes,Yes,5-Title I schoolwide school,34.2633,-85.3041,Yes participating without using any Provision or the CEO,910,44,0,540,111,203,10,2
COOSA MIDDLE SCHOOL,Georgia,1.30219E+11,1302190,Yes,Yes,5-Title I schoolwide school,34.2684,-85.3047,Yes participating without using any Provision or the CEO,396,13,1,235,40,103,4,0
COPELAND ELEMENTARY SCHOOL,Georgia,1.30438E+11,1304380,Yes,Yes,5-Title I schoolwide school,33.4722,-82.0679,Yes under Community Eligibility Option (CEO),388,7,3,13,345,18,2,0
CORALWOOD EDUCATION CENTER,Georgia,1.30174E+11,1301740,,No,6-Not a Title I school,33.8279,-84.2878,Yes participating without using any Provision or the CEO,199,24,0,105,39,15,14,2
CORLEY ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.9364,-84.1231,Yes participating without using any Provision or the CEO,1075,38,0,26,266,702,39,4
CORNELIA ELEMENTARY SCHOOL,Georgia,1.30258E+11,1302580,Yes,Yes,5-Title I schoolwide school,34.5204,-83.5347,No,481,24,0,111,31,302,13,0
CORRETTA SCOTT KING WOMENS' LEADERSHIP ACADEMY,Georgia,1.30012E+11,1300120,Yes,Yes,5-Title I schoolwide school,33.7893,-84.4793,Yes under Community Eligibility Option (CEO),334,4,1,0,315,14,0,0
COTTON INDIAN ELEMENTARY SCHOOL,Georgia,1.30282E+11,1302820,Yes,Yes,5-Title I schoolwide school,33.5618,-84.2011,Yes participating without using any Provision or the CEO,623,38,0,134,316,115,19,1
COUCH MIDDLE SCHOOL,Georgia,1.30255E+11,1302550,,No,6-Not a Title I school,33.90106,-83.967006,Yes participating without using any Provision or the CEO,1050,56,1,221,489,199,82,2
COUNTY LINE ELEMENTARY SCHOOL,Georgia,1.30029E+11,1300290,Yes,Yes,5-Title I schoolwide school,34.0263,-83.7386,No,547,42,0,330,31,114,30,0
COUSINS MIDDLE SCHOOL,Georgia,1.30393E+11,1303930,Yes,Yes,5-Title I schoolwide school,33.6126,-83.8792,Yes participating without using any Provision or the CEO,787,31,2,241,406,99,8,0
COWAN ROAD ELEMENTARY SCHOOL,Georgia,1.30252E+11,1302520,Yes,Yes,5-Title I schoolwide school,33.2793,-84.307,Yes participating without using any Provision or the CEO,533,29,0,127,295,71,8,3
COWAN ROAD MIDDLE SCHOOL,Georgia,1.30252E+11,1302520,Yes,Yes,5-Title I schoolwide school,33.2767,-84.3074,Yes participating without using any Provision or the CEO,582,26,1,153,312,85,4,1
COWETA CHARTER ACADEMY,Georgia,1.30022E+11,1300222,No,Yes,2-Title I targeted assistance school,33.296619,-84.588354,Yes participating without using any Provision or the CEO,769,47,4,527,111,66,12,2
COX ELEMENTARY SCHOOL,Georgia,1.30138E+11,1301380,Yes,Yes,5-Title I schoolwide school,31.1685,-83.7745,Yes under Community Eligibility Option (CEO),530,11,0,41,253,225,0,0
CRABAPPLE CROSSING ELEMENTARY SCHOOL,Georgia,1.30228E+11,1302280,,No,6-Not a Title I school,34.0931,-84.3379,Yes participating without using any Provision or the CEO,640,37,0,403,34,57,109,0
CRABAPPLE LANE ELEMENTARY SCHOOL,Georgia,1.30213E+11,1302130,,No,6-Not a Title I school,33.440211,-84.594614,Yes participating without using any Provision or the CEO,562,41,0,344,91,58,27,1
CRABAPPLE MIDDLE SCHOOL,Georgia,1.30228E+11,1302280,,No,6-Not a Title I school,34.0403,-84.3638,Yes participating without using any Provision or the CEO,858,39,2,584,112,98,23,0
CRAIG ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,,No,6-Not a Title I school,33.9025,-84.0182,Yes participating without using any Provision or the CEO,1006,50,3,340,281,159,169,4
CRAWFORD COUNTY ELEMENTARY,Georgia,1.30153E+11,1301530,Yes,Yes,5-Title I schoolwide school,32.7286,-84.0078,No,735,43,0,496,154,38,3,1
CRAWFORD COUNTY HIGH SCHOOL,Georgia,1.30153E+11,1301530,Yes,Yes,5-Title I schoolwide school,32.7207,-84.0051,No,489,15,0,351,100,23,0,0
CRAWFORD COUNTY MIDDLE SCHOOL,Georgia,1.30153E+11,1301530,Yes,Yes,5-Title I schoolwide school,32.7311,-84.0077,No,419,25,0,288,91,15,0,0
